x_m,y_m,w_tr_right_m,w_tr_left_m,w_re_right_m,w_re_left_m
0.064604056,0.076137999,0.85,0.85,0.85,0.85
0.099573364,0.074996163,0.85,0.85,0.85,0.85
0.136841044,0.075630166,0.85,0.85,0.85,0.85
0.174182277,0.074510326,0.85,0.85,0.85,0.85
0.211477868,0.102601515,0.85,0.85,0.85,0.85
0.383333647,0.129788908,0.85,0.85,0.85,0.85
0.389893734,0.131742365,0.85,0.85,0.85,0.85
0.402825198,0.135592635,0.85,0.85,0.85,0.85
0.421769502,0.141230306,0.85,0.85,0.85,0.85
0.446237442,0.148505663,0.85,0.85,0.85,0.85
0.47565182,0.157238552,0.85,0.85,0.85,0.85
0.50939664,0.16723485,0.85,0.85,0.85,0.85
0.54685713,0.178298898,0.85,0.85,0.85,0.85
0.587451039,0.190245211,0.85,0.85,0.85,0.85
0.630649132,0.20290777,0.85,0.85,0.85,0.85
0.675981613,0.216142076,0.85,0.85,0.85,0.85
0.723042766,0.229829785,0.85,0.85,0.85,0.85
0.771484199,0.243873875,0.85,0.85,0.85,0.85
0.821009288,0.25819528,0.85,0.85,0.85,0.85
0.871369637,0.272730604,0.85,0.85,0.85,0.85
0.92235475,0.287423603,0.85,0.85,0.85,0.85
0.973791564,0.30222617,0.85,0.85,0.85,0.85
1.025540663,0.317094207,0.85,0.85,0.85,0.85
1.077494814,0.331990257,0.85,0.85,0.85,0.85
1.129581241,0.346884358,0.85,0.85,0.85,0.85
1.181762494,0.361758369,0.85,0.85,0.85,0.85
1.234042166,0.37660998,0.85,0.85,0.85,0.85
1.286466717,0.391454168,0.85,0.85,0.85,0.85
1.339133318,0.406326612,0.85,0.85,0.85,0.85
1.392189691,0.421282037,0.85,0.85,0.85,0.85
1.445835309,0.436393976,0.85,0.85,0.85,0.85
1.500317613,0.451748844,0.85,0.85,0.85,0.85
1.555923392,0.467442967,0.85,0.85,0.85,0.85
1.61296573,0.483574361,0.85,0.85,0.85,0.85
1.671765327,0.500239056,0.85,0.85,0.85,0.85
1.732627868,0.51752386,0.85,0.85,0.85,0.85
1.795824447,0.535505047,0.85,0.85,0.85,0.85
1.861569769,0.554246846,0.85,0.85,0.85,0.85
1.930007536,0.573802404,0.85,0.85,0.85,0.85
2.00120349,0.59421924,0.85,0.85,0.85,0.85
2.075140946,0.61554178,0.85,0.85,0.85,0.85
2.151725264,0.637819164,0.85,0.85,0.85,0.85
2.230785865,0.661104777,0.85,0.85,0.85,0.85
2.31207926,0.685458117,0.85,0.85,0.85,0.85
2.395289217,0.710938868,0.85,0.85,0.85,0.85
2.480022831,0.737597671,0.85,0.85,0.85,0.85
2.565811998,0.76546678,0.85,0.85,0.85,0.85
2.652116357,0.794547696,0.85,0.85,0.85,0.85
2.738335335,0.824798087,0.85,0.85,0.85,0.85
2.82383205,0.856126341,0.85,0.85,0.85,0.85
2.907964088,0.888386289,0.85,0.85,0.85,0.85
2.990121733,0.921379163,0.85,0.85,0.85,0.85
3.069763468,0.954857328,0.85,0.85,0.85,0.85
3.146447316,0.988533233,0.85,0.85,0.85,0.85
3.219850427,1.022089185,0.85,0.85,0.85,0.85
3.289778065,1.055189898,0.85,0.85,0.85,0.85
3.356160675,1.087495452,0.85,0.85,0.85,0.85
3.419039344,1.118672283,0.85,0.85,0.85,0.85
3.478552033,1.148409321,0.85,0.85,0.85,0.85
3.534915204,1.176431201,0.85,0.85,0.85,0.85
3.588401557,1.202509355,0.85,0.85,0.85,0.85
3.639329775,1.226476739,0.85,0.85,0.85,0.85
3.688047422,1.24823509,0.85,0.85,0.85,0.85
3.734917891,1.267760211,0.85,0.85,0.85,0.85
3.78031295,1.285103277,0.85,0.85,0.85,0.85
3.824602142,1.300385063,0.85,0.85,0.85,0.85
3.868148524,1.313787187,0.85,0.85,0.85,0.85
3.911296206,1.325535523,0.85,0.85,0.85,0.85
3.954369062,1.335885243,0.85,0.85,0.85,0.85
3.997660706,1.345100943,0.85,0.85,0.85,0.85
4.041431959,1.35344123,0.85,0.85,0.85,0.85
4.085904533,1.361143811,0.85,0.85,0.85,0.85
4.131257059,1.368415166,0.85,0.85,0.85,0.85
4.177625522,1.375424936,0.85,0.85,0.85,0.85
4.225104014,1.382304802,0.85,0.85,0.85,0.85
4.273752467,1.389151489,0.85,0.85,0.85,0.85
4.323605951,1.396033317,0.85,0.85,0.85,0.85
4.374689371,1.402999648,0.85,0.85,0.85,0.85
4.427036626,1.410092528,0.85,0.85,0.85,0.85
4.480712069,1.41735976,0.85,0.85,0.85,0.85
4.535834458,1.424868365,0.85,0.85,0.85,0.85
4.592599425,1.432717599,0.85,0.85,0.85,0.85
4.651294828,1.441047622,0.85,0.85,0.85,0.85
4.712306617,1.450046993,0.85,0.85,0.85,0.85
4.776107633,1.459949853,0.85,0.85,0.85,0.85
4.843225936,1.471029614,0.85,0.85,0.85,0.85
4.914194839,1.483581387,0.85,0.85,0.85,0.85
4.989481589,1.49789966,0.85,0.85,0.85,0.85
5.069411688,1.514250851,0.85,0.85,0.85,0.85
5.154094853,1.532848129,0.85,0.85,0.85,0.85
5.24336837,1.55382648,0.85,0.85,0.85,0.85
5.336769889,1.577227207,0.85,0.85,0.85,0.85
5.433547141,1.602994547,0.85,0.85,0.85,0.85
5.532705639,1.630981492,0.85,0.85,0.85,0.85
5.633087021,1.660965112,0.85,0.85,0.85,0.85
5.733465767,1.692669004,0.85,0.85,0.85,0.85
5.832647404,1.725787608,0.85,0.85,0.85,0.85
5.929556351,1.760011941,0.85,0.85,0.85,0.85
6.023295737,1.795047825,0.85,0.85,0.85,0.85
6.113177686,1.830631587,0.85,0.85,0.85,0.85
6.198724291,1.866539951,0.85,0.85,0.85,0.85
6.279648467,1.902598509,0.85,0.85,0.85,0.85
6.355814419,1.938685243,0.85,0.85,0.85,0.85
6.427199524,1.974735534,0.85,0.85,0.85,0.85
6.493858913,2.010746539,0.85,0.85,0.85,0.85
6.555894517,2.046776968,0.85,0.85,0.85,0.85
6.613437431,2.082944612,0.85,0.85,0.85,0.85
6.666633954,2.119413634,0.85,0.85,0.85,0.85
6.715644879,2.156378841,0.85,0.85,0.85,0.85
6.760637816,2.194036183,0.85,0.85,0.85,0.85
6.801788051,2.232555842,0.85,0.85,0.85,0.85
6.839279054,2.27205086,0.85,0.85,0.85,0.85
6.873302582,2.312558685,0.85,0.85,0.85,0.85
6.904060594,2.354030623,0.85,0.85,0.85,0.85
6.93176432,2.396340739,0.85,0.85,0.85,0.85
6.956634217,2.439310671,0.85,0.85,0.85,0.85
6.978895449,2.482747578,0.85,0.85,0.85,0.85
6.998770201,2.526487216,0.85,0.85,0.85,0.85
7.016465728,2.570435408,0.85,0.85,0.85,0.85
7.03215969,2.614601721,0.85,0.85,0.85,0.85
7.04598199,2.65911758,0.85,0.85,0.85,0.85
7.057998504,2.704236482,0.85,0.85,0.85,0.85
7.068198619,2.750315264,0.85,0.85,0.85,0.85
7.076490097,2.797777763,0.85,0.85,0.85,0.85
7.082703788,2.847064143,0.85,0.85,0.85,0.85
7.086609487,2.89857077,0.85,0.85,0.85,0.85
7.087942743,2.952587202,0.85,0.85,0.85,0.85
7.086436454,3.009238301,0.85,0.85,0.85,0.85
7.081860144,3.068440417,0.85,0.85,0.85,0.85
7.074049536,3.12988038,0.85,0.85,0.85,0.85
7.06292996,3.193022677,0.85,0.85,0.85,0.85
7.048525417,3.257148733,0.85,0.85,0.85,0.85
7.030954284,3.321423772,0.85,0.85,0.85,0.85
7.01041102,3.38497994,0.85,0.85,0.85,0.85
6.987140213,3.447007073,0.85,0.85,0.85,0.85
6.961410966,3.506832684,0.85,0.85,0.85,0.85
6.933490316,3.563978392,0.85,0.85,0.85,0.85
6.903626806,3.618188247,0.85,0.85,0.85,0.85
6.872038538,3.669422195,0.85,0.85,0.85,0.85
6.838911229,3.717828922,0.85,0.85,0.85,0.85
6.804399904,3.763695899,0.85,0.85,0.85,0.85
6.768636476,3.807395213,0.85,0.85,0.85,0.85
6.731736352,3.849333691,0.85,0.85,0.85,0.85
6.693810742,3.889911817,0.85,0.85,0.85,0.85
6.654975388,3.929496845,0.85,0.85,0.85,0.85
6.615363543,3.968409564,0.85,0.85,0.85,0.85
6.575137003,4.006922411,0.85,0.85,0.85,0.85
6.534494978,4.045265063,0.85,0.85,0.85,0.85
6.49368366,4.083633933,0.85,0.85,0.85,0.85
6.452997306,4.122199427,0.85,0.85,0.85,0.85
6.412775782,4.161112254,0.85,0.85,0.85,0.85
6.37339451,4.200502476,0.85,0.85,0.85,0.85
6.335247173,4.240477767,0.85,0.85,0.85,0.85
